KOKUGO_G1_U13	おはなしをつくる	0	50	
KOKUGO_G1_U14	はなしをきく	0	50	
KOKUGO_G1_U15	じぶんのことをはなす	0	50	
KOKUGO_G1_U16	みんなのまえではなす	0	50	
KOKUGO_G2_U01	かたかなのことば	0	66	
KOKUGO_G2_U02	主語と述語	0	50	
KOKUGO_G2_U03	文のきまり	0	50	
KOKUGO_G2_U04	日記を書く	0	50	
KOKUGO_G2_U05	せつめい文を読む	0	50	
KOKUGO_G2_U06	物語を読む	0	50	
KOKUGO_G2_U07	大事なことを見つける	0	50	
KOKUGO_G2_U08	手紙を書く	0	50	
KOKUGO_G2_U09	作文を書く	0	50	
KOKUGO_G2_U10	話を聞く	0	50	
KOKUGO_G2_U11	順序よく話す	0	50	
KOKUGO_G3_U01	漢字の読み書き	0	50	
KOKUGO_G3_U02	国語じてんの使いかた	0	50	
KOKUGO_G3_U03	まとまり	0	50	
KOKUGO_G3_U04	物語文の読みとり	0	50	
KOKUGO_G3_U05	せつめい文の読みとり	0	50	
KOKUGO_G3_U06	大事なところをまとめる	0	50	
KOKUGO_G3_U07	日記・作文	0	50	
KOKUGO_G3_U08	手紙の書きかた	0	50	
KOKUGO_G3_U09	話し合い	0	50	
KOKUGO_G4_U01	漢字の使い方	0	50	
KOKUGO_G4_U02	熟語	0	50	
KOKUGO_G4_U03	国語辞典・漢字辞典	0	50	
KOKUGO_G4_U04	段落と要旨	0	50	
KOKUGO_G4_U05	物語文の読み取り	0	50	
KOKUGO_G4_U06	説明文の読み取り	0	50	
KOKUGO_G4_U07	要約	0	50	
KOKUGO_G4_U08	意見文を書く	0	50	
KOKUGO_G4_U09	話し合いと発表	0	50	
KOKUGO_G5_U01	漢字の意味と使い分け	0	50	
KOKUGO_G5_U02	敬語	0	50	
KOKUGO_G5_U03	物語文の読み取り	0	50	
KOKUGO_G5_U04	説明文の読み取り	0	50	
KOKUGO_G5_U05	要約と要旨	0	50	
KOKUGO_G5_U06	意見文を書く	0	50	
KOKUGO_G5_U07	報告文を書く	0	50	
KOKUGO_G5_U08	討論	0	50	
KOKUGO_G5_U09	スピーチ	0	50	
KOKUGO_G6_U01	漢字のまとめ	0	50	
KOKUGO_G6_U02	熟語と語句	0	50	
KOKUGO_G6_U03	物語文の読み取り	0	50	
KOKUGO_G6_U04	説明文の読み取り	0	50	
KOKUGO_G6_U05	要旨と要約	0	50	
KOKUGO_G6_U06	意見文を書く	0	50	
KOKUGO_G6_U07	提案文を書く	0	50	
KOKUGO_G6_U08	討論	0	50	
KOKUGO_G6_U09	スピーチ	0	50	
KOKUGO_G6_U10	卒業文集	0	50	
KOKUGO_G7_U01	物語文の読み取り	0	50	
KOKUGO_G7_U02	説明文の読み取り	0	50	
KOKUGO_G7_U03	詩の読み取り	0	50	
KOKUGO_G7_U04	古典（古文の基礎）	0	50	
KOKUGO_G7_U05	漢文の基礎	0	50	
KOKUGO_G7_U06	文の成分	0	50	
KOKUGO_G7_U07	品詞	0	50	
KOKUGO_G7_U08	漢字の読み書き	0	50	
KOKUGO_G7_U09	要約	0	50	
KOKUGO_G7_U10	意見文	0	50	
KOKUGO_G7_U11	スピーチ	0	50	
KOKUGO_G7_U12	話し合い	0	50	
KOKUGO_G8_U01	物語文の読み取り	0	50	
KOKUGO_G8_U02	説明文の読み取り	0	50	
KOKUGO_G8_U03	詩・短歌・俳句	0	50	
KOKUGO_G8_U04	古文	0	50	
KOKUGO_G8_U05	漢文	0	50	
KOKUGO_G8_U06	文法	0	50	
KOKUGO_G8_U07	漢字の読み書き	0	50	
KOKUGO_G8_U08	要約	0	50	
KOKUGO_G8_U09	意見文	0	50	
KOKUGO_G8_U10	発表	0	50	
KOKUGO_G8_U11	討論	0	50	
KOKUGO_G9_U01	物語文の読み取り	0	50	
KOKUGO_G9_U02	説明文の読み取り	0	50	
KOKUGO_G9_U03	詩・短歌・俳句	0	50	
KOKUGO_G9_U04	古文	0	50	
KOKUGO_G9_U05	漢文	0	50	
KOKUGO_G9_U06	文法	0	50	
KOKUGO_G9_U07	漢字の読み書き	0	50	
KOKUGO_G9_U08	要約	0	50	
KOKUGO_G9_U09	論説文を書く	0	50	
KOKUGO_G9_U10	スピーチ	0	50	
KOKUGO_G9_U11	討論	0	50	
KOKUGO_G9_U12	卒業論文・発表	0	50	
LIFE_1_U01	がっこうたんけん	0	30	
LIFE_1_U02	がっこうのひととなかよし	0	31	
LIFE_1_U03	きせつとなかよし	0	50	
LIFE_1_U04	いきものとなかよし	0	30	
LIFE_1_U05	はなややさいをそだてよう	0	36	
LIFE_1_U06	みぢかなものあそび	0	30	
LIFE_1_U07	じぶんのせいちょう	0	30	
LIFE_2_U01	まちたんけん	0	42	
LIFE_2_U02	まちのひととなかよし	0	30	
LIFE_2_U03	きせつのしぜん	0	48	
LIFE_2_U04	やさいをそだてよう	0	44	
LIFE_2_U05	いきもののかんさつ	0	30	
LIFE_2_U06	おもちゃづくり	0	46	
LIFE_2_U07	じぶんのせいちょう	0	44	
MATH_G1_U01	かずとすうじ	27	38	dots,number_sequence
MATH_G1_U02	いくつといくつ	32	50	dots
MATH_G1_U03	かたちあそび	0	32	
MATH_G1_U04	なんばんめ	16	35	number_sequence
MATH_G1_U05	あわせていくつ	2	42	dots
MATH_G1_U06	ふえるといくつ	1	50	dots
MATH_G1_U07	のこりはいくつ	0	50	
MATH_G1_U08	ちがいはいくつ	0	50	
MATH_G1_U09	20までのかず	11	30	number_sequence
MATH_G1_U10	なんじ	14	32	clock
MATH_G1_U11	ながさくらべ	30	50	bar_chart
MATH_G1_U12	かさくらべ	20	40	bar_chart
MATH_G1_U13	えぐらふ	21	40	bar_chart
MATH_G1_U14	ひょう	15	35	bar_chart
MATH_G1_U15	さんかくとしかく	12	30	polygon
MATH_G1_U16	かたちづくり	12	32	polygon
MATH_G1_U17	3つのかずのけいさん	0	32	
MATH_G1_U18	ぶんしょうだい	0	50	
MATH_G2_U01	表とグラフ	31	50	bar_chart
MATH_G2_U02	たし算	0	50	
MATH_G2_U03	ひき算	0	50	
MATH_G2_U04	長さ	0	50	
MATH_G2_U05	100までの数	0	50	
MATH_G2_U06	かさ	0	38	
MATH_G2_U07	時こくと時かん	20	40	clock
MATH_G2_U08	3けたの数	0	50	
MATH_G2_U09	かけ算のいみ	0	40	
MATH_G2_U10	九九	0	50	
MATH_G2_U11	はこの形	11	30	cube
MATH_G2_U12	ぶんしょうだい	0	50	
MATH_G3_U01	表とグラフ	30	50	bar_chart
MATH_G3_U02	大きい数	0	50	
MATH_G3_U03	たし算	0	50	
MATH_G3_U04	ひき算	0	50	
MATH_G3_U05	時こくと時間	30	50	clock
MATH_G3_U06	長さ	0	50	
MATH_G3_U07	かけ算	0	50	
MATH_G3_U08	円と球	11	30	circle
MATH_G3_U09	わり算	0	44	
MATH_G3_U10	あまりのあるわり算	0	50	
MATH_G3_U11	重さ	0	50	
MATH_G3_U12	小数	0	38	
MATH_G3_U13	分数	30	50	fraction_operation
MATH_G3_U14	□をつかった式	0	50	
MATH_G4_U01	大きい数	0	50	
MATH_G4_U02	わり算	0	50	
MATH_G4_U03	折れ線グラフ	30	50	bar_chart
MATH_G4_U04	角	30	50	angle
MATH_G4_U05	そろばん	0	50	
MATH_G4_U06	小数	0	38	
MATH_G4_U07	小数のたし算とひき算	0	50	
MATH_G4_U08	面せき	0	50	
MATH_G4_U09	がい数	0	50	
MATH_G4_U10	式と計算のじゅんじょ	0	50	
MATH_G4_U11	分数	30	50	fraction,fraction_operation
MATH_G4_U12	分数のたし算とひき算	30	50	fraction_operation
MATH_G4_U13	直方体と立方体	10	30	cube
MATH_G4_U14	変わり方	0	44	
MATH_G4_U15	表やグラフにまとめる	0	50	
MATH_G5_U01	整数と小数	0	50	
MATH_G5_U02	体積	0	50	
MATH_G5_U03	小数のかけ算	0	50	
MATH_G5_U04	小数のわり算	0	50	
MATH_G5_U05	合同な図形	10	30	polygon
MATH_G5_U06	分数と小数・整数	30	50	fraction
MATH_G5_U07	分数のたし算とひき算	22	42	fraction_operation
MATH_G5_U08	平均	0	50	
MATH_G5_U09	単位量あたりの大きさ	0	50	
MATH_G5_U10	速さ	0	32	
MATH_G5_U11	比例	0	50	
MATH_G5_U12	円と正多角形	15	35	polygon
MATH_G5_U13	角柱と円柱	10	30	cylinder,prism
MATH_G5_U14	割合	0	50	
MATH_G5_U15	帯グラフと円グラフ	30	50	bar_chart
MATH_G6_U01	対称な図形	10	30	polygon
MATH_G6_U02	文字と式	0	50	
MATH_G6_U03	分数のかけ算	30	50	fraction_operation,fraction
MATH_G6_U04	分数のわり算	30	50	fraction_operation,fraction
MATH_G6_U05	比とその利用	0	40	
MATH_G6_U06	比例と反比例	0	50	
MATH_G6_U07	拡大図と縮図	12	32	polygon
MATH_G6_U08	円の面積	18	38	circle
MATH_G6_U09	角柱と円柱の体積	24	44	prism,cylinder
MATH_G6_U10	およその面積と体積	0	50	
MATH_G6_U11	場合の数	0	32	
MATH_G6_U12	資料の調べ方	0	50	
MATH_G6_U13	算数のまとめ	0	50	
MATH_G7_U01	正の数と負の数	0	38	
